"feature","RF","SSRF"
"r_lag0",0.0108946983041553,0.00884371624906244
"r_lag1",0.000975443286957978,0.00114147332593384
"r_lag2",-0.000132901239167316,-0.00145773050107656
"r_lag3",-0.000643941739770559,0.00034395851133584
"r_lag4",-0.00596689982163001,-0.00220555225709917
"sig5",-0.00329310055468257,-0.00241888045746563
"sig10",-0.00138160318203617,-0.00183888594925352
"sig21",0.000504586880658131,-0.00902677901440896
"sig63",0.00382137055970233,0.00536824149996828
"s_eur0",-0.00193688114908785,-0.000598180919838764
"s_eur1",0.00524551167027609,0.00208324384998959
"s_eur2",0.00584112501214062,0.00293067645795886
"r_eur_g",0.00189127838011482,7.6073482078165e-05
"inter_rvol",0.0150830658781971,0.0188664149723126
"inter_svol",-0.00844093173410143,-0.0122769202339277
"dgs10_diff",0.00275324884379446,0.00284175055036084
"dgs_spread",0.000439310367620571,0.00225651576671981
"parkinson",-0.0149193760529944,-0.00880719376691719
"range_norm",-0.000448310225530157,3.18378444505996e-05
"skew21",-0.00363638245561027,-0.00891288638826659
"kurt21",0.00254871681906454,0.00270554591296435
"dow_tue",-0.000758537448422691,-0.00152792046907702
"dow_wed",-0.000608673770300827,8.94370812745127e-05
"dow_thu",-0.00033220423070035,-0.000830479349009705
