source,dataset,B,n,p,r2,lam,gain,win,pval,reps,p_holm
Python,airquality,5,111,5,0.6636617865004315,0.8916379135128935,5.012183188463082,8.0,0.9999485015869141,25,1.0
Python,airquality,10,111,5,0.6558598832176661,0.8845934709271451,7.757701538924855,0.0,1.0,25,1.0
Python,airquality,25,111,5,0.6769271177825363,0.8851708227112344,9.622243087379312,0.0,1.0,25,1.0
Python,airquality,100,111,5,0.7162696785582987,0.8855987299004452,11.151045042052733,0.0,1.0,25,1.0
Python,airquality,500,111,5,0.7205087225724147,0.887857299142749,9.46763315968484,0.0,1.0,25,1.0
Python,attitude,5,30,6,0.3018069320657253,0.9756261310957803,0.0,36.0,0.5856075286865234,25,1.0
Python,attitude,10,30,6,0.4143718882890991,0.9809310542350129,0.4874427477641774,24.0,0.9988771080970764,25,1.0
Python,attitude,25,30,6,0.33225484337349187,0.9770529943079014,0.40088644109153027,32.0,0.996314525604248,25,1.0
Python,attitude,100,30,6,0.3066214898967192,0.9794700567856882,0.5577111019358982,20.0,0.9999866783618927,25,1.0
Python,attitude,500,30,6,0.4575701532038827,0.9786341015235093,0.5536756264844733,20.0,0.9999625086784363,25,1.0
Python,boston,5,506,14,0.8088481633610892,0.9601633918255595,2.4454261490783225,8.0,0.9999997019767761,25,1.0
Python,boston,10,506,14,0.8389648277606945,0.9563613557947188,4.436855218648006,8.0,0.9999999105930328,25,1.0
Python,boston,25,506,14,0.8270170218196908,0.9572941746726029,5.662019599216106,4.0,0.9999999403953552,25,1.0
Python,boston,100,506,14,0.8287474346936932,0.9576726445625859,5.714190505286232,4.0,0.9999999701976776,25,1.0
Python,boston,500,506,14,0.8502858029774061,0.9567724976918054,6.182829357186348,0.0,1.0,25,1.0
Python,cpus,5,209,6,0.7582363969671319,0.9186638816615974,4.734029304949305,28.000000000000004,0.99935182929039,25,1.0
Python,cpus,10,209,6,0.6871262914781545,0.9158280943007615,8.064881671419787,20.0,0.9999730587005615,25,1.0
Python,cpus,25,209,6,0.8298597321413264,0.9229356846753737,7.023865128171947,16.0,0.9999983608722687,25,1.0
Python,cpus,100,209,6,0.6928203571284159,0.9194237643053836,6.3059017713714915,24.0,0.9999730587005615,25,1.0
Python,cpus,500,209,6,0.8096804463153997,0.9184779809312356,7.419679005547075,32.0,0.9996425211429596,25,1.0
Python,diabetes,5,442,10,0.38645221385008577,0.8968578018476133,-0.4704274030953637,72.0,0.1498061716556549,25,0.7490308582782745
Python,diabetes,10,442,10,0.41551390028944435,0.895214202377025,0.905245608559202,36.0,0.9742118716239929,25,1.0
Python,diabetes,25,442,10,0.44691849528348293,0.8957478777797124,2.082097808203054,20.0,0.9999772906303406,25,1.0
Python,diabetes,100,442,10,0.4469853559387843,0.8948937861729764,2.6444165052547985,4.0,0.9999999105930328,25,1.0
Python,diabetes,500,442,10,0.46698919929560667,0.8953594907648491,1.5227794606909706,0.0,1.0,25,1.0
Python,mcycle,5,133,1,0.7384923209194565,0.9503820283220392,-2.552173221470777,56.00000000000001,0.2053825855255127,25,1.0
Python,mcycle,10,133,1,0.7340306176613058,0.9492279912633448,0.9825131823045119,48.0,0.7629176676273346,25,1.0
Python,mcycle,25,133,1,0.7107714458480454,0.9546935929073491,-1.4703592203013982,68.0,0.2209186851978302,25,1.0
Python,mcycle,100,133,1,0.7338957741426431,0.9519661956627485,0.9314250232177912,44.0,0.8998919129371643,25,1.0
Python,mcycle,500,133,1,0.729217939866275,0.9542698920948018,0.048047523561267624,48.0,0.7108968794345856,25,1.0
Python,ozone,5,203,25,0.6852410287355222,0.9521942703290287,0.6875321952750646,44.0,0.9177519381046295,25,1.0
Python,ozone,10,203,25,0.7090787915055354,0.9542292217993981,1.3303608013178092,28.000000000000004,0.966649204492569,25,1.0
Python,ozone,25,203,25,0.7426368661680297,0.9528494393829755,2.7337570468325634,28.000000000000004,0.9982903897762299,25,1.0
Python,ozone,100,203,25,0.6941046900229807,0.9537889890853413,1.6348644223242115,16.0,0.9999625086784363,25,1.0
Python,ozone,500,203,25,0.740005618285104,0.9536048171788722,1.4321721950653954,28.000000000000004,0.9942733347415924,25,1.0
Python,savings,5,50,4,0.13332713116639783,0.8039947028278099,-1.2470864438378748,68.0,0.024131208658218384,25,0.12065604329109192
Python,savings,10,50,4,0.17324319407139976,0.8175881756860682,-1.1065211713169543,64.0,0.10496959090232849,25,0.41987836360931396
Python,savings,25,50,4,0.1515876459887474,0.80192259412971,0.8050309429679103,48.0,0.5315985679626465,25,1.0
Python,savings,100,50,4,0.19334470350026656,0.8134033411708137,0.632153406411029,40.0,0.7629176676273346,25,1.0
Python,savings,500,50,4,0.03287685375798477,0.8092129629363547,0.8304357863653911,44.0,0.8950304090976715,25,1.0
Python,servo,5,167,16,0.5837864688044431,0.8683775543308595,5.62694114233333,4.0,0.9999999403953552,25,1.0
Python,servo,10,167,16,0.6230031668186609,0.8680839874531504,7.715077880664278,0.0,1.0,25,1.0
Python,servo,25,167,16,0.6308906127810147,0.8756061357427495,8.837751604057754,0.0,1.0,25,1.0
Python,servo,100,167,16,0.6667773835238114,0.8671776501354718,9.535933212758652,0.0,1.0,25,1.0
Python,servo,500,167,16,0.6687253022860975,0.8734858749355721,9.22222091322018,0.0,1.0,25,1.0
Python,swiss,5,47,5,0.4208056951536816,0.872872000964233,2.5188895502403996,40.0,0.9803306460380554,25,1.0
Python,swiss,10,47,5,0.3825053539566723,0.8805845840002501,2.5033649142484515,16.0,0.9996425211429596,25,1.0
Python,swiss,25,47,5,0.40986773586132175,0.8651303071597095,4.687969568584283,8.0,0.9999997019767761,25,1.0
Python,swiss,100,47,5,0.34898158479238084,0.8663265607370351,5.814693236475699,12.0,0.9999889433383942,25,1.0
