experiment,dgp,n,p,B,min_leaf,rep,rule,mean_abs_C,mean_bound,rel_C,s_lambda,identity_err,mse_true,mse_common
heterogeneity,dgp1,300,10,10,5,0,EB,0.012025454489771829,0.04472931872162691,0.03134728752184307,0.06046599085623373,4.440892098500626e-16,0.11497200650722487,0.11662840149601154
heterogeneity,dgp1,300,10,10,5,0,JS,0.0068793325456474675,0.025478421288425757,0.017932662374648883,0.03477999006135536,4.440892098500626e-16,0.11782615749371494,0.11785575559123318
heterogeneity,dgp1,300,10,10,5,1,EB,0.012992743561422944,0.045569132323389085,0.03681726441281027,0.0571780358252472,3.3306690738754696e-16,0.12465871274098758,0.12644479264094308
heterogeneity,dgp1,300,10,10,5,1,JS,0.004346133354273761,0.017052988221453548,0.012315546760480104,0.02164413099048754,3.3306690738754696e-16,0.12765197655533717,0.12769169142593537
heterogeneity,dgp1,300,10,10,5,2,EB,0.015461988405149556,0.057752952706591414,0.04732389897226238,0.07401423701706875,4.440892098500626e-16,0.10796454843015346,0.10955566019590668
heterogeneity,dgp1,300,10,10,5,2,JS,0.009276739589781946,0.03418748626089632,0.02839295151667663,0.043770076972492945,4.440892098500626e-16,0.11108849536305922,0.11027858767906662
heterogeneity,dgp1,300,10,10,5,3,EB,0.01166187950078616,0.03995195059452019,0.034767551809191465,0.05183714270961289,4.440892098500626e-16,0.131479249754982,0.13230037145409046
heterogeneity,dgp1,300,10,10,5,3,JS,0.004074763328915647,0.015276782997201258,0.012148088576864292,0.019936494613873704,4.440892098500626e-16,0.133733156285424,0.1333962273016052
heterogeneity,dgp1,300,10,10,5,4,EB,0.011420396392033249,0.04369896175398919,0.034292236756365085,0.064382520730203,3.3306690738754696e-16,0.08988352405988553,0.09031322543035876
heterogeneity,dgp1,300,10,10,5,4,JS,0.006775962439109663,0.027463687395803356,0.020346308502590994,0.04050696953794848,4.440892098500626e-16,0.0911820783416644,0.09087250346013619
heterogeneity,dgp1,300,10,10,5,5,EB,0.024046647276341367,0.08656995905213667,0.07124944197614454,0.10367985957172392,4.440892098500626e-16,0.15766971645476202,0.1623537133020325
heterogeneity,dgp1,300,10,10,5,5,JS,0.017889295033703838,0.0693574426741213,0.05300540544594122,0.08323764367831085,4.440892098500626e-16,0.16355390391465446,0.16374604402181736
heterogeneity,dgp1,300,10,10,5,6,EB,0.014738804537093107,0.04710589280446127,0.04151191001856967,0.0612140294815281,5.551115123125783e-16,0.13297525315218406,0.13242276486417742
heterogeneity,dgp1,300,10,10,5,6,JS,0.00607865762174962,0.02250215909072886,0.0171205668405947,0.029446787184428794,4.440892098500626e-16,0.1334882667919477,0.13309324885409723
