dgp,min_leaf,B,gain_js,gain_eb,se,win,p,reps,p_holm
dgp1,2,1,-36.593377146505105,-37.695230834117,1.8159873634250374,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,3,-34.09510552253134,-34.826437135364635,1.4097780804929638,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,5,-31.207509893797578,-32.116567963163206,0.9426256783957129,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,10,-26.452841409057733,-27.296637893044334,0.6951116250274743,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,25,-19.312497275703137,-20.08194860172356,0.6995741252027202,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,50,-15.171719159820967,-16.10044916957604,0.9293582787258612,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,100,-12.259626379945699,-12.659886758541283,0.8516084788110968,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,2,250,-9.833029046667036,-10.44150199743351,1.1499071357059982,96.66666666666667,1.862645149230957e-09,30,2.514570951461792e-08
dgp1,2,500,-9.247216418091215,-9.650816525910521,1.343526293603741,96.66666666666667,2.7939677238464355e-09,30,2.514570951461792e-08
dgp1,5,1,-33.01890532541718,-37.247127478254605,1.6885462317780136,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,3,-29.595674441303117,-32.27105670825506,0.4946193712290678,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,5,-27.168554127275574,-29.072190092692786,0.6780359004701345,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,10,-21.522902634817044,-23.47366499315043,1.1756057371172688,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,25,-13.967452939695562,-15.221713145329264,1.1603405618704432,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,50,-10.561771806884229,-11.569615921948545,1.175333148906783,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp1,5,100,-8.4265995649891,-9.17030778313434,1.0294717323383586,86.66666666666667,1.9278377294540405e-07,30,2.1206215023994446e-06
