experiment,dgp,n,p,B,min_leaf,rep,snr,method,mse,mae,mse_true,coverage,interval_score,interval_width,dm_stat,dm_p,runtime,lam_eb,lam_js,leaves,n_eff,sigma2,tau2,tuned_leaf,tuned_mtry
grid,dgp1,300,10,10,5,0,0.1365439111336827,RF,1.5782699658786155,0.894862402313809,0.16318687099864976,0.926,7.7288431977520515,4.406679652542494,1.0501281740545187,0.2939131514552647,0.020685282999991728,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF,1.5693725978871427,0.8862458885255562,0.13239303472534739,0.93,7.736841150254469,4.412586027772122,-0.3904771939181888,0.6962669634868223,0.020685282999991728,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF-JS,1.570191610033617,0.8872746885716087,0.13619269720841232,0.928,7.743200006987976,4.386409541064759,,,0.020685282999991728,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,RF-H,1.6484787920501924,0.9072420558289925,0.1584368674690015,0.934,7.983115538237248,4.519203086872123,2.744464189859175,0.006169629731882894,0.010130359000001476,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF-H,1.6449335430376582,0.9027078064299056,0.15575494126650233,0.94,7.968644228309973,4.553998381513424,2.8897517974771154,0.003938836254322777,0.010130359000001476,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF-JS-H,1.64528239923421,0.9027822822137576,0.15676232831623022,0.936,8.003197905735028,4.477970504326194,2.7877057048753233,0.0054089789138943665,0.010130359000001476,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF-rob,1.5714744914114223,0.8895258259997725,0.1449989064632819,0.93,7.725781975544036,4.405382393294807,0.4079522167765439,0.6833961696682335,0.0259810370000082,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,RidgeRF,1.6002791233776996,0.8952324761337314,0.12869000159165336,0.928,7.80409391088078,4.487001899190181,1.036680932954718,0.30013544335723297,0.023632659000000444,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,LassoRF,1.5485460177646002,0.8804240013459358,0.15247922678542783,0.924,7.779752838295567,4.2898310519877265,-0.6970623571870481,0.48592594449839505,0.036809731000005286,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,GBM,1.6022386708680143,0.88319836704719,0.13116052009951185,0.934,8.067164976787206,4.378064819898225,0.6520316113271645,0.5145307639921006,0.07994599699999583,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,RF-tuned,1.498503433900655,0.8610140241708384,0.0787583955752144,0.932,7.611090258729382,4.266665779361992,-3.5437457141411457,0.00041273976639379654,2.433528211999999,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,10,5,0,0.1365439111336827,SSRF-tuned,1.560927885726447,0.8742342654142142,0.09643138429681261,0.928,7.780402493009515,4.38853734995824,-0.4294750171715754,0.6676701799923651,2.460567134999991,0.7651663414740097,0.7693918241446464,48.3,3.5005831965755294,0.5538531320152286,0.5013142930103724,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,RF,1.5297333634347738,0.8685157166468156,0.09438035417946085,0.926,8.01748956348322,4.19108275145063,-2.018942279165499,0.04375995221368136,1.0070627180000002,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF,1.541661815602275,0.8701268628725326,0.09269101338365601,0.928,8.054265361560843,4.210714820446901,0.17574355112921072,0.8605310346546121,1.0070627180000002,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF-JS,1.5415480182208299,0.8700833450777125,0.09263812670176046,0.928,8.055549344405634,4.207406726075753,,,1.0070627180000002,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,RF-H,1.5714169965645493,0.8797119060503665,0.10470943557037468,0.926,8.063904082079217,4.282273205857407,2.688968021452354,0.007286681658567288,0.7914499439999929,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF-H,1.645056163947585,0.9048478281129655,0.155630918417279,0.93,8.217323720760307,4.370899201258972,5.600452274476009,2.7628163372972886e-08,0.7914499439999929,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF-JS-H,1.6410281928436794,0.9033328887588119,0.15262300702099002,0.928,8.217201577316946,4.354515646394154,5.534749348855874,3.98219981069462e-08,0.7914499439999929,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF-rob,1.534661237844589,0.8685806156263768,0.09197350989454098,0.928,8.024078848075954,4.229899724544673,-2.569009839128098,0.010343164740869116,1.7606100089999899,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,RidgeRF,1.547407253921391,0.875372587034328,0.089164683640787,0.926,7.906003181926782,4.300492400931435,0.5575518157564615,0.5772753730398263,0.9212642390000099,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,LassoRF,1.5363820169291753,0.8777419912015164,0.12933797404895447,0.922,7.974177325500835,4.224765646377669,-0.23255306331230705,0.816156111350432,0.7199182009999987,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,GBM,1.6022386708680143,0.88319836704719,0.13116052009951185,0.93,7.957048470797336,4.325002019986216,1.505321904544459,0.13255743275169662,0.08795688000000723,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,RF-tuned,1.5183595575449258,0.8669598159350981,0.0845723553604067,0.922,7.974855689882998,4.160779169822874,-1.7732038690317236,0.0764995640359851,2.6620968879999936,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,500,5,0,0.1365439111336827,SSRF-tuned,1.5194325786914533,0.865848656733052,0.08659471967005798,0.93,7.942075456863721,4.224686937350723,-2.002939680348487,0.04545356079080944,3.6908253729999956,0.7666282924952272,0.7712344035339839,47.624,3.4791795089030106,0.5946355301141629,0.5530834660512728,20,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,RF,1.6108267902724782,0.8745935681428325,0.16095483652282425,0.95,6.933469337063711,4.779051886760625,4.9454983501315235,8.905644579626777e-07,0.02617068499999675,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,SSRF,1.5714055404782856,0.8598892865412237,0.12809889969500265,0.942,6.884151457471795,4.556353287314991,-2.7268489725656737,0.0065062198119201975,0.02617068499999675,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,SSRF-JS,1.5748792908534652,0.8615418850412607,0.1319139146028776,0.944,6.880157985179402,4.622536579152788,,,0.02617068499999675,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,RF-H,1.5985629000151507,0.8678318646998039,0.15099208988597876,0.948,6.896299940969144,4.647180215917205,0.9017839074064655,0.3673890292724432,0.017639688000002707,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,SSRF-H,1.5781795284791578,0.8637810822468178,0.17022122522832228,0.952,6.84948346438555,4.6275457076141695,0.11363443047354634,0.9095504242223648,0.017639688000002707,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
grid,dgp1,300,10,10,5,1,0.1403811013909831,SSRF-JS-H,1.5794309170331633,0.8624688301995777,0.16621817990541085,0.954,6.852037820979608,4.652485782759819,0.16046412790825,0.8725479176571205,0.017639688000002707,0.8082505096568138,0.8129893250831868,47.2,3.503468734061771,0.6000135976945906,0.7133428389244014,40,5
