dataset,n,n_features,B,gain_js,gain_eb,gain_naive,win,pval,splits,p_holm
airquality,111,5,5,5.012183188463082,6.086096553528786,2.740785916004085,8.0,0.9999485015869141,25,1.0
airquality,111,5,10,7.757701538924833,9.607578093643522,3.9684199881452553,0.0,1.0,25,1.0
airquality,111,5,25,9.622243087379312,11.8490279074976,4.8094952973349425,0.0,1.0,25,1.0
airquality,111,5,100,11.151045042052733,14.174765943195599,5.943451537404121,0.0,1.0,25,1.0
airquality,111,5,500,9.46763315968484,11.886841600686937,5.100070424960279,0.0,1.0,25,1.0
attitude,30,6,5,0.0,2.4468120635830815,1.224362810869839,36.0,0.5856075286865234,25,1.0
attitude,30,6,10,0.4874427477641774,4.854755084018003,1.7893838891454683,24.0,0.9988771080970764,25,1.0
attitude,30,6,25,0.40088644109153027,6.140460917945645,2.7312580317441215,32.0,0.996314525604248,25,1.0
attitude,30,6,100,0.5577111019358982,6.619621637733664,2.912815424921056,20.0,0.9999866783618927,25,1.0
attitude,30,6,500,0.5536756264844733,6.288169681975031,2.77900698220388,20.0,0.9999625086784363,25,1.0
boston,506,14,5,2.4454261490783225,2.9283084963805495,1.0387752055001753,8.0,0.9999997019767761,25,1.0
boston,506,14,10,4.436855218648006,4.807687133348693,1.962225382816496,8.0,0.9999999105930328,25,1.0
boston,506,14,25,5.662019599216106,6.3977699415370015,2.461032232356386,4.0,0.9999999403953552,25,1.0
boston,506,14,100,5.714190505286232,6.041949643604294,2.3964380068048685,4.0,0.9999999701976776,25,1.0
boston,506,14,500,6.182829357186348,6.721062756271556,2.765809539627484,0.0,1.0,25,1.0
cpus,209,6,5,4.734029304949305,5.32041706529951,2.373860670024519,28.000000000000004,0.99935182929039,25,1.0
cpus,209,6,10,8.064881671419787,9.355670656970027,3.908576010124687,20.0,0.9999730587005615,25,1.0
cpus,209,6,25,7.023865128171947,8.80921357081277,3.6221697566541033,16.0,0.9999983608722687,25,1.0
cpus,209,6,100,6.3059017713714915,7.485425557251735,3.188949527775109,24.0,0.9999730587005615,25,1.0
cpus,209,6,500,7.419679005547075,8.760317703619602,3.6042524091754347,32.0,0.9996425211429596,25,1.0
diabetes,442,10,5,-0.4704274030953637,-0.49122646061542374,-0.4586243549455138,72.0,0.1498061716556549,25,0.7490308582782745
diabetes,442,10,10,0.905245608559202,0.7031965224217895,0.12105236813795273,36.0,0.9742118716239929,25,1.0
diabetes,442,10,25,2.082097808203054,2.1506107114444895,0.6898221919622083,20.0,0.9999772906303406,25,1.0
diabetes,442,10,100,2.6444165052547985,2.890496716342117,0.9193899456952481,4.0,0.9999999105930328,25,1.0
diabetes,442,10,500,1.5227794606909706,1.652847193799989,0.48636937399850755,0.0,1.0,25,1.0
mcycle,133,1,5,-2.552173221470777,-2.5017775095781847,-1.1061259910529642,56.00000000000001,0.2053825855255127,25,1.0
mcycle,133,1,10,0.9825131823045119,1.3097305909067103,0.18151395541390336,48.0,0.7629176676273346,25,1.0
mcycle,133,1,25,-1.4703592203013982,-1.4708710723608465,-1.0435928647512749,68.0,0.2209186851978302,25,1.0
mcycle,133,1,100,0.9314250232177912,1.0743434585383405,0.3006583801636431,44.0,0.8998919129371643,25,1.0
mcycle,133,1,500,0.048047523561267624,0.16324804080820599,-0.07739917914186822,48.0,0.7108968794345856,25,1.0
ozone,203,25,5,0.6875321952750646,0.6996341577890197,-0.055227983378736134,44.0,0.9177519381046295,25,1.0
ozone,203,25,10,1.3303608013178092,1.7252000039710946,0.6025701006385775,28.000000000000004,0.966649204492569,25,1.0
ozone,203,25,25,2.7337570468325634,2.8517210704775753,1.128488649222814,28.000000000000004,0.9982903897762299,25,1.0
ozone,203,25,100,1.6348644223242115,1.8596300094518181,0.7478097929787486,16.0,0.9999625086784363,25,1.0
ozone,203,25,500,1.4321721950653954,1.6131657715759973,0.585711483848117,28.000000000000004,0.9942733347415924,25,1.0
savings,50,4,5,-1.2470864438378748,-0.7720734266415175,-0.9947373021255923,68.0,0.024131208658218384,25,0.12065604329109192
savings,50,4,10,-1.1065211713169543,-0.814336734198029,-0.8300647274352979,64.0,0.10496959090232849,25,0.41987836360931396
savings,50,4,25,0.8050309429679103,2.660977697658873,0.7930816357483828,48.0,0.5315985679626465,25,1.0
savings,50,4,100,0.6321534064110068,2.6785250019504048,0.47350727271133763,40.0,0.7629176676273346,25,1.0
savings,50,4,500,0.8304357863653911,2.3510741171764327,0.6092464362099426,44.0,0.8950304090976715,25,1.0
servo,167,16,5,5.62694114233333,6.577191738047805,2.6601465831384674,4.0,0.9999999403953552,25,1.0
servo,167,16,10,7.715077880664256,9.692839439778611,4.323288256705116,0.0,1.0,25,1.0
servo,167,16,25,8.837751604057754,10.57122985845571,4.643388590426034,0.0,1.0,25,1.0
servo,167,16,100,9.535933212758652,11.5180038520319,5.428726530578354,0.0,1.0,25,1.0
servo,167,16,500,9.22222091322018,10.703741192598981,4.919251087633847,0.0,1.0,25,1.0
swiss,47,5,5,2.5188895502403996,5.530331758031948,2.142672950203206,40.0,0.9803306460380554,25,1.0
swiss,47,5,10,2.5033649142484515,5.159008829697731,1.6609148247005878,16.0,0.9996425211429596,25,1.0
swiss,47,5,25,4.687969568584283,10.480683673457115,4.323118745502708,8.0,0.9999997019767761,25,1.0
swiss,47,5,100,5.814693236475699,13.206894164740767,5.126240117589509,12.0,0.9999889433383942,25,1.0
swiss,47,5,500,5.508135791870972,11.755825282771614,5.136422552086062,8.0,0.9999998509883881,25,1.0
