dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,1,5,SSRF-naive,424.76518378180754,15.003216948720791,0.004287348000161728,0.8966242745076846,0.9374443951978326,11.8,3.7514209860618006,78
airquality,111,5,1,5,SSRF-rob,427.98043111533013,15.060514113652868,0.007090615999914007,0.8966242745076846,0.9374443951978326,11.8,3.7514209860618006,78
airquality,111,5,1,10,RF,373.92679831411203,14.339584918448555,0.007599557000048662,0.8701869950561502,0.927719650174007,10.8,3.8267187137133494,78
airquality,111,5,1,10,SSRF-JS,409.4055322450011,14.639533246963829,0.007599557000048662,0.8701869950561502,0.927719650174007,10.8,3.8267187137133494,78
airquality,111,5,1,10,SSRF,420.26632463454,14.732556413753771,0.007599557000048662,0.8701869950561502,0.927719650174007,10.8,3.8267187137133494,78
airquality,111,5,1,10,SSRF-naive,394.8788949246067,14.511363178745023,0.008912418999898364,0.8701869950561502,0.927719650174007,10.8,3.8267187137133494,78
airquality,111,5,1,10,SSRF-rob,390.7731498624808,14.488299656876638,0.02236298499997247,0.8701869950561502,0.927719650174007,10.8,3.8267187137133494,78
airquality,111,5,1,25,RF,957.2773429752417,20.167254624163718,0.026918690000002243,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,SSRF-JS,1009.3471129397799,20.899278347173656,0.026918690000002243,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,SSRF,1018.4029519131147,21.02597487547529,0.026918690000002243,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,SSRF-naive,985.4289629129962,20.563694129713,0.020736040999963734,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,SSRF-rob,991.6793867480445,20.658532846952824,0.03545979700015778,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,RF-tuned,932.9968085791934,18.437031746031746,1.2654769210000723,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,SSRF-tuned,862.8239709769992,16.75227059645638,1.2889548269999977,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,LassoRF,970.2573438680132,19.033509151308223,0.0413961870001458,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,25,GBM,941.1423367397892,17.892247901610066,0.04862270800003898,0.8878461995971412,0.9391579237314904,11.36,3.7780489731093194,78
airquality,111,5,1,100,RF,218.60663946131632,12.217784406423448,0.07652461799989396,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,SSRF-JS,240.03808217249582,12.770576183186263,0.07652461799989396,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,SSRF,246.74450643490306,12.927500444341733,0.07652461799989396,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,SSRF-naive,229.66733728886177,12.501418714578952,0.08520655000006627,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,SSRF-rob,228.5816665580746,12.48192459897913,0.1736656610000864,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,RF-tuned,191.05883506616914,11.099518551314008,1.2851752589999705,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,SSRF-tuned,199.02509050634367,11.324249322483793,1.4021760640000593,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,LassoRF,251.40737868989416,12.805977116215018,0.1173503919999348,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,100,GBM,287.04967989519974,12.449438200585304,0.030296766999981628,0.9010688219952114,0.944281220559224,11.52,3.718984411552046,78
airquality,111,5,1,500,RF,270.69937380997055,11.994237774712643,0.43619382199995016,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,SSRF-JS,293.4100837421037,12.340342315461903,0.43619382199995016,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,SSRF,301.0174951764856,12.463481161143887,0.43619382199995016,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,SSRF-naive,281.8201391224258,12.152440023062908,0.5044158540001717,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,SSRF-rob,280.11201648478516,12.11709544305002,0.8260785110001052,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,RF-tuned,285.8773410042983,12.21369304774616,1.619360295999968,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,SSRF-tuned,308.0826766249602,12.795516395978293,2.1919185619999553,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,LassoRF,293.4190438182666,12.000119039114155,0.44310405700002775,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,1,500,GBM,343.0629524329321,14.317159069212357,0.31388042399998994,0.8873212948750779,0.9369032710566767,11.32,3.760547026465804,78
airquality,111,5,2,5,RF,331.4794868915632,14.589234771962044,0.0041667979999147065,0.9210966874261228,0.9526308945640467,11.2,3.80097631802246,78
airquality,111,5,2,5,SSRF-JS,353.25645697365434,15.290158649204695,0.0041667979999147065,0.9210966874261228,0.9526308945640467,11.2,3.80097631802246,78
