"experiment","dgp","n","p","B","min_leaf","rep","snr","method","mse","mae","mse_true","coverage","interval_score","interval_width","dm_stat","dm_p","runtime","lambda","lambda_naive","leaves","n_eff","tuned_nodesize"
"grid","dgp1",300,10,10,5,1,0.139189162631146,"RF",1.41938039793683,0.882024217223531,0.210754577443679,0.942,6.97268119341569,4.83464555267028,4.69803786881895,2.99404853346338e-06,0.0120000000000005,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF-JS",1.39595673709053,0.872168747712426,0.183645571763217,0.938,6.95447805543187,4.73973782934059,NA,NA,0.0120000000000005,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF",1.39029149291316,0.869651686695492,0.177572066957398,0.938,6.94623614502134,4.75569901422615,-3.68474485884894,0.000241226820335321,0.0120000000000005,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF-naive",1.40748049321249,0.87732258545099,0.19840975101362,0.942,6.96271862261479,4.78233190457811,3.44441168497559,0.000596079288225023,0.0120000000000005,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF-rob",1.41578270572552,0.880496818062315,0.206673979643287,0.942,6.97114234534857,4.80480721460219,4.51614815836089,7.0482318679402e-06,0.0379999999999967,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"RF-H",1.35721243327573,0.833797136920652,0.123603383460149,0.922,7.09581395993007,4.53960118269524,-1.2621253853904,0.207198243073029,0.0549999999999997,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF-JS-H",1.36723369128517,0.838362046191911,0.137549063090122,0.934,6.96584473385807,4.83262196745016,-0.819819401818912,0.412514618607103,0.0549999999999997,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"RidgeRF",1.47058232122398,0.885446866038081,0.262444866161028,0.936,7.47048464958969,4.83890494316744,1.90110495353913,0.0575758195154755,0.0949999999999989,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"LassoRF",1.5340576439901,0.908533407019066,0.289911801516268,0.904,7.51320388550027,4.58358303594164,3.38885304503904,0.00072927749899424,0.0429999999999993,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"GBM",1.31538425518544,0.82293860621622,0.109195931934691,0.926,7.08633761727892,4.43435651683501,-3.12152538306054,0.0018508610301287,0.0560000000000045,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"RF-tuned",1.48649038485173,0.892944509478658,0.292382309112195,0.918,7.38527481201704,4.80414379774018,2.31153267502926,0.0210061783921682,0.497,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,10,5,1,0.139189162631146,"SSRF-tuned",1.41972843591661,0.870586938810317,0.217812268871882,0.938,7.10532501935005,4.83419936125204,0.673710310641348,0.500651345050213,0.515999999999998,0.895652764043385,0.96765203923415,101.8,1.77560130330268,2
"grid","dgp1",300,10,500,5,1,0.139189162631146,"RF",1.32761498327665,0.829927584426585,0.123912708048827,0.95,6.7718881504768,4.85320893011177,2.92809187254727,0.00348789020262086,0.591999999999999,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF-JS",1.31105232068199,0.821897464473941,0.102546107509728,0.944,6.71647468158094,4.75752799904533,NA,NA,0.591999999999999,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF",1.31008275852284,0.821352432929012,0.101654476100854,0.944,6.71490833472617,4.75641404834033,-2.73037491916327,0.00643755098706657,0.591999999999999,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF-naive",1.32058567439434,0.826401436146471,0.115071089746408,0.95,6.74853862403156,4.80640506852035,2.59511312906463,0.0095945967493884,0.591999999999999,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF-rob",1.32571374294239,0.829025606666868,0.121599962985557,0.95,6.76632985999039,4.84181906002897,2.85683854718841,0.00436757504762185,1.723,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"RF-H",1.28892427870642,0.814043941074537,0.0666420521726196,0.95,6.59790152511523,4.85308504955195,-1.1616468498954,0.245656409426611,0.633000000000003,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF-JS-H",1.34959379443275,0.835357339715667,0.117177954058401,0.948,6.6971767844615,4.93134287013951,1.27922640556836,0.201114381341937,0.633000000000003,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"RidgeRF",1.31140641758984,0.83391726675974,0.127524246244043,0.954,6.63625145676681,4.80805090153307,0.017300007594194,0.986200733935998,0.341000000000001,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"LassoRF",1.37986587216277,0.853003172694204,0.145001931425996,0.956,6.71570564626575,4.89245473637212,3.39040738575698,0.000725201823277658,0.25,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"GBM",1.30842216289259,0.820878669474084,0.0912980043291609,0.958,6.76657744070288,4.95474969593923,-0.135055027628583,0.892595572751459,0.0609999999999999,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"RF-tuned",1.2973102639531,0.818845655215517,0.0905817519719843,0.946,6.74342393852285,4.73231571942285,-2.19279350564931,0.0285522430063961,0.643000000000001,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,500,5,1,0.139189162631146,"SSRF-tuned",1.29365963765677,0.816094170128068,0.0844712755174044,0.948,6.66970615943685,4.82020318099508,-2.67206358832771,0.00766135500476164,1.068,0.865188943317383,0.957793265742646,102.138,1.73778016271529,40
"grid","dgp1",300,10,10,5,2,0.143096286422545,"RF",1.3115733197611,0.859551123710803,0.198372161705751,0.958,6.20382618688908,4.59009025834915,7.11286594034063,2.16456467595716e-12,0.0130000000000052,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF-JS",1.28152250261268,0.847719304012769,0.170533024387523,0.958,6.15037228546373,4.66135747954147,NA,NA,0.0130000000000052,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF",1.2753439699915,0.845284417866518,0.166281445189377,0.958,6.1358022815768,4.60064524806601,-4.87758378127223,1.24899768771199e-06,0.0130000000000052,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF-naive",1.29716779928414,0.853860515364774,0.185885582293076,0.958,6.18505065279102,4.61356470866845,5.94950247604344,3.71701730817141e-09,0.0130000000000052,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF-rob",1.30556491792302,0.857154558820698,0.192720230295247,0.958,6.19129075212637,4.59176705935459,6.9575674368447,6.25523796743804e-12,0.0300000000000011,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"RF-H",1.22073771352004,0.828287576364379,0.116136274307311,0.954,6.00241846299022,4.65649752590029,-2.05071152518006,0.0405555078819375,0.0120000000000005,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF-JS-H",1.24434714452614,0.838756669762851,0.143404758143122,0.956,5.99355313311547,4.73166928868029,-1.14633859942986,0.251929576324776,0.0120000000000005,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"RidgeRF",1.3173085736858,0.870624923592635,0.221488133207432,0.962,6.04346055097598,4.72560444349304,0.931147317576708,0.352002326370772,0.034000000000006,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"LassoRF",1.33532645791784,0.876924877759186,0.203665405430455,0.948,6.11439126693742,4.64943758981971,1.54048705420937,0.12375835071143,0.0409999999999968,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"GBM",1.18261315014145,0.811430223236819,0.0959467952491742,0.952,5.84125433864583,4.44015692239372,-3.71974309351004,0.000210531364456535,0.036999999999999,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"RF-tuned",1.33813038868134,0.870203200364228,0.204644736507359,0.956,6.17954410697791,4.74883821850173,1.79934880669323,0.072265202282912,0.465000000000003,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,10,5,2,0.143096286422545,"SSRF-tuned",1.25594762870382,0.840867317047761,0.153781565148149,0.958,6.02313610989473,4.54857584969225,-0.856080836945045,0.392158352955997,0.480000000000004,0.898871312563241,0.967744143588612,100.9,1.76674914376774,10
"grid","dgp1",300,10,500,5,2,0.143096286422545,"RF",1.22018424145291,0.828737231580795,0.101726587413071,0.944,5.90982555808202,4.3577653335698,3.35661328482605,0.000818771112274044,0.577000000000005,0.887970556108171,0.965617359028157,101.978,1.73874519455562,80
"grid","dgp1",300,10,500,5,2,0.143096286422545,"SSRF-JS",1.20848591674503,0.823677675757627,0.0926797474183431,0.94,5.90528281402432,4.27419717289776,NA,NA,0.577000000000005,0.887970556108171,0.965617359028157,101.978,1.73874519455562,80
"grid","dgp1",300,10,500,5,2,0.143096286422545,"SSRF",1.20710326407529,0.823181643915995,0.091623678737133,0.94,5.90460391448081,4.27538237091944,-3.40779490181943,0.000681031471646357,0.577000000000005,0.887970556108171,0.965617359028157,101.978,1.73874519455562,80
"grid","dgp1",300,10,500,5,2,0.143096286422545,"SSRF-naive",1.21521793905023,0.826637386329895,0.0976952026759217,0.942,5.91079990928518,4.31204019432444,3.02668698220105,0.0025358749414363,0.577000000000005,0.887970556108171,0.965617359028157,101.978,1.73874519455562,80
"grid","dgp1",300,10,500,5,2,0.143096286422545,"SSRF-rob",1.21817188429253,0.827871460000001,0.100110140763365,0.942,5.91083099422311,4.3328152684683,3.26489983608923,0.00113222219796485,1.58900000000001,0.887970556108171,0.965617359028157,101.978,1.73874519455562,80
