"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mae","mse_true","lambda","leaves","n_eff","snr"
"substitution","dgp1",600,10,25,2,2,"SSRF-JS",1.47244158808676,0.857831173420375,0.120810638224434,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,25,2,2,"SSRF",1.4714769475921,0.857617609286672,0.120379319559445,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,50,2,2,"RF",1.44595313868117,0.847197903352046,0.104848042756867,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,50,2,2,"SSRF-JS",1.43786386642532,0.845451002945802,0.0967429670665155,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,50,2,2,"SSRF",1.43761917198866,0.84539304180074,0.0964735681534306,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,100,2,2,"RF",1.43728686073879,0.844827337028133,0.0930678258687246,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,100,2,2,"SSRF-JS",1.43093822199989,0.843776754084483,0.0871110962018726,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,100,2,2,"SSRF",1.43080587387903,0.843703398443888,0.087010057883873,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,250,2,2,"RF",1.43573355135012,0.84391221251523,0.0896352361412068,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,250,2,2,"SSRF-JS",1.42992372951268,0.842661818363412,0.084133779220269,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,250,2,2,"SSRF",1.42948653328296,0.842518646923247,0.0839267471763298,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,500,2,2,"RF",1.43455354922153,0.84228104731818,0.090042033073421,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,500,2,2,"SSRF-JS",1.42852309698548,0.841345910893936,0.0844400675784972,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,500,2,2,"SSRF",1.42829624960111,0.841288009071761,0.0842491251972452,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,1,5,1,"RF",2.77013629738384,1.25933791802351,1.13214885088301,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,1,5,1,"SSRF-JS",2.42853483293269,1.17094952533566,0.807031271804657,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,1,5,1,"SSRF",2.39148394017206,1.16322519119812,0.771442063475356,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,3,5,1,"RF",2.02400891261969,1.04633307176636,0.425649712085872,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,3,5,1,"SSRF-JS",1.92570714353109,1.01426323209598,0.336415644448311,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,3,5,1,"SSRF",1.91420604863568,1.01069770518917,0.326019537303544,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,5,5,1,"RF",1.84083076599803,0.993898655046711,0.28155698082187,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,5,5,1,"SSRF-JS",1.78577978821492,0.973868918642978,0.22924228809601,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,5,5,1,"SSRF",1.77828478566054,0.970546949272113,0.222205349488513,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,10,5,1,"RF",1.75940277098016,0.95705013924788,0.214521009647586,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,10,5,1,"SSRF-JS",1.72679042346586,0.945693190158348,0.182021997799388,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,10,5,1,"SSRF",1.72474905524806,0.944873026579834,0.1781071833877,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,25,5,1,"RF",1.68416334329523,0.933958136805238,0.146503227317539,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,25,5,1,"SSRF-JS",1.66833396585814,0.928077400148755,0.130075413809648,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,25,5,1,"SSRF",1.66668770690025,0.927431815256355,0.12746280196975,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,50,5,1,"RF",1.65908118443769,0.925814546457029,0.11348176070385,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,50,5,1,"SSRF-JS",1.6500639660222,0.922242450876624,0.104776071284972,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,50,5,1,"SSRF",1.64836754798684,0.921577351939969,0.103410142523398,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,100,5,1,"RF",1.65711993506837,0.922613270621828,0.10279344689622,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,100,5,1,"SSRF-JS",1.64931892752344,0.91978874746028,0.096249607021126,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,100,5,1,"SSRF",1.64822814064429,0.919512265726189,0.0952369639840186,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,250,5,1,"RF",1.64339732704435,0.91792817113901,0.0943378850706429,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,250,5,1,"SSRF-JS",1.63794320861934,0.915710992823446,0.0895549832830756,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,250,5,1,"SSRF",1.63716432043448,0.915548055197799,0.0885936822223851,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,500,5,1,"RF",1.63961789785196,0.915925629306193,0.092712102513271,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,500,5,1,"SSRF-JS",1.63485793851717,0.91407229625298,0.0883886521442217,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,500,5,1,"SSRF",1.63433653073871,0.913944821319298,0.0875513265861352,0.882447935882388,204.67,1.73710684315957,0.134628004372762
"substitution","dgp1",600,10,1,5,2,"RF",2.54512218485823,1.21187878493005,1.17564349907986,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,1,5,2,"SSRF-JS",2.24684557476597,1.1348262195438,0.894502937690448,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,1,5,2,"SSRF",2.205218179283,1.1284016988105,0.859463975561584,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,3,5,2,"RF",1.76250301075708,0.999728109940119,0.47871314311496,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,3,5,2,"SSRF-JS",1.66585808306913,0.965297367653398,0.387837059373312,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,3,5,2,"SSRF",1.64575524790464,0.958530076187386,0.371113037994462,0.892670289849807,204.606,1.73435444436226,0.133542416093776
"substitution","dgp1",600,10,5,5,2,"RF",1.56055319230128,0.924135854655499,0.296486242043613,0.892670289849807,204.606,1.73435444436226,0.133542416093776
