"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mse_true"
"equivalence","dgp2",600,10,400,5,1,"SSRF-JS",0.625635925474155,0.0401099609865071
"equivalence","dgp2",600,10,600,5,1,"RF",0.631624370848297,0.0453035752927406
"equivalence","dgp2",600,10,600,5,1,"SSRF-JS",0.625997094529362,0.0391513398720783
"equivalence","dgp2",600,10,5,5,2,"RF",0.897134923939846,0.180216839637428
"equivalence","dgp2",600,10,5,5,2,"SSRF-JS",0.853697613134782,0.132762062204375
"equivalence","dgp2",600,10,10,5,2,"RF",0.846910512451871,0.122915223402597
"equivalence","dgp2",600,10,10,5,2,"SSRF-JS",0.823334588678221,0.0972392507875105
"equivalence","dgp2",600,10,15,5,2,"RF",0.829195624263767,0.111604126309877
"equivalence","dgp2",600,10,15,5,2,"SSRF-JS",0.80820334030662,0.0855107768897852
"equivalence","dgp2",600,10,25,5,2,"RF",0.817334117397766,0.0957736095095336
"equivalence","dgp2",600,10,25,5,2,"SSRF-JS",0.800248328533831,0.0752258248251614
"equivalence","dgp2",600,10,40,5,2,"RF",0.803813096157447,0.0839557809829549
"equivalence","dgp2",600,10,40,5,2,"SSRF-JS",0.789838366485494,0.0669550427964706
"equivalence","dgp2",600,10,60,5,2,"RF",0.796538919306214,0.0729518943492184
"equivalence","dgp2",600,10,60,5,2,"SSRF-JS",0.785927498026505,0.0601085837203106
"equivalence","dgp2",600,10,100,5,2,"RF",0.794591323773783,0.065853271004592
"equivalence","dgp2",600,10,100,5,2,"SSRF-JS",0.78521333694989,0.0551639364957208
"equivalence","dgp2",600,10,150,5,2,"RF",0.79239955895999,0.0650608850525318
"equivalence","dgp2",600,10,150,5,2,"SSRF-JS",0.782934143268226,0.0541744724977755
"equivalence","dgp2",600,10,250,5,2,"RF",0.792411939708665,0.0632152316637252
"equivalence","dgp2",600,10,250,5,2,"SSRF-JS",0.782970455067975,0.0528996931529732
"equivalence","dgp2",600,10,400,5,2,"RF",0.788834422660344,0.0604530819354363
"equivalence","dgp2",600,10,400,5,2,"SSRF-JS",0.780074764615943,0.050793739083595
"equivalence","dgp2",600,10,600,5,2,"RF",0.78988927607743,0.0621013083764488
"equivalence","dgp2",600,10,600,5,2,"SSRF-JS",0.780837203805154,0.052084696744716
"equivalence","dgp3",600,10,5,5,1,"RF",1.18838818388657,0.178759717755659
"equivalence","dgp3",600,10,5,5,1,"SSRF-JS",1.16989435941455,0.159582400032528
"equivalence","dgp3",600,10,10,5,1,"RF",1.12051716295893,0.119047357147378
"equivalence","dgp3",600,10,10,5,1,"SSRF-JS",1.11473017811314,0.11146048649415
"equivalence","dgp3",600,10,15,5,1,"RF",1.08967959423019,0.0910717456504901
"equivalence","dgp3",600,10,15,5,1,"SSRF-JS",1.08827147933206,0.0873303863361811
"equivalence","dgp3",600,10,25,5,1,"RF",1.07939348730111,0.0772369174074646
"equivalence","dgp3",600,10,25,5,1,"SSRF-JS",1.08027406803336,0.0760536749358082
"equivalence","dgp3",600,10,40,5,1,"RF",1.07847235936473,0.0719683204689624
"equivalence","dgp3",600,10,40,5,1,"SSRF-JS",1.07979029418731,0.0716340768612911
"equivalence","dgp3",600,10,60,5,1,"RF",1.069032102189,0.067390718002925
"equivalence","dgp3",600,10,60,5,1,"SSRF-JS",1.07192854922604,0.0678972544389012
"equivalence","dgp3",600,10,100,5,1,"RF",1.07249717360099,0.0615388364971189
"equivalence","dgp3",600,10,100,5,1,"SSRF-JS",1.07483301253788,0.0625027398925338
"equivalence","dgp3",600,10,150,5,1,"RF",1.07161585326663,0.0599501800835857
"equivalence","dgp3",600,10,150,5,1,"SSRF-JS",1.07425089932061,0.0613704998386837
"equivalence","dgp3",600,10,250,5,1,"RF",1.07072556675536,0.0590300830968313
"equivalence","dgp3",600,10,250,5,1,"SSRF-JS",1.07376543350541,0.0609009330818373
"equivalence","dgp3",600,10,400,5,1,"RF",1.07349905669853,0.0587665931726615
"equivalence","dgp3",600,10,400,5,1,"SSRF-JS",1.07631224428419,0.0606985336268934
"equivalence","dgp3",600,10,600,5,1,"RF",1.07531529888471,0.0595326477621823
"equivalence","dgp3",600,10,600,5,1,"SSRF-JS",1.07814691146258,0.0616053794184999
"equivalence","dgp3",600,10,5,5,2,"RF",0.892782778226943,0.240175002532039
"equivalence","dgp3",600,10,5,5,2,"SSRF-JS",0.856716662472499,0.207256611217076
"equivalence","dgp3",600,10,10,5,2,"RF",0.780910520931696,0.132818318773184
"equivalence","dgp3",600,10,10,5,2,"SSRF-JS",0.761138635331823,0.116437630005685
"equivalence","dgp3",600,10,15,5,2,"RF",0.763370115364152,0.115969565159742
"equivalence","dgp3",600,10,15,5,2,"SSRF-JS",0.748723622176203,0.104940910996749
"equivalence","dgp3",600,10,25,5,2,"RF",0.74464635267111,0.0962878301890408
"equivalence","dgp3",600,10,25,5,2,"SSRF-JS",0.735442317796472,0.0902443767970761
"equivalence","dgp3",600,10,40,5,2,"RF",0.726264147455013,0.0816216119041153
"equivalence","dgp3",600,10,40,5,2,"SSRF-JS",0.720288552516072,0.0788094379094013
"equivalence","dgp3",600,10,60,5,2,"RF",0.721204145032295,0.0719730833978881
"equivalence","dgp3",600,10,60,5,2,"SSRF-JS",0.715619169723438,0.0701909983723672
"equivalence","dgp3",600,10,100,5,2,"RF",0.712370524140782,0.0637163420982251
"equivalence","dgp3",600,10,100,5,2,"SSRF-JS",0.708463768521803,0.0635487160003668
"equivalence","dgp3",600,10,150,5,2,"RF",0.711714078877687,0.0602541682180159
"equivalence","dgp3",600,10,150,5,2,"SSRF-JS",0.708463161827422,0.0606058732246883
"equivalence","dgp3",600,10,250,5,2,"RF",0.709722749905326,0.058403147810723
"equivalence","dgp3",600,10,250,5,2,"SSRF-JS",0.706768936040742,0.0589542226799374
"equivalence","dgp3",600,10,400,5,2,"RF",0.709713934689649,0.0571621312189048
"equivalence","dgp3",600,10,400,5,2,"SSRF-JS",0.706843931907472,0.0579393408233959
"equivalence","dgp3",600,10,600,5,2,"RF",0.708602127205065,0.0564300978097586
"equivalence","dgp3",600,10,600,5,2,"SSRF-JS",0.705902674459267,0.0572949192104161
