"dgp","B","RF","SSRF-JS","factor"
"dgp1",5,0.418395269667791,0.358505166579402,2.92944912442902
"dgp1",10,0.446459601368149,0.402284436186233,1.21129807745612
"dgp1",15,0.353020989855287,0.317774055887817,1.2883258842297
"dgp1",25,0.28195135864843,0.249916576386027,1.19121466928798
"dgp1",40,0.195901399881497,0.174029029565395,12.8056793124413
"dgp1",60,0.20256008848204,0.183033111697177,3.35710754170624
"dgp1",100,0.177868808616991,0.161075412095669,NA
"dgp1",150,0.196132545249898,0.178572854073859,1.48462533838514
"dgp1",250,0.173433170964314,0.157868469843085,NA
"dgp1",400,0.177113511974254,0.161569904869648,NA
"dgp1",600,0.172056369215419,0.156958132728046,NA
"dgp2",5,0.17673345963903,0.138185529143117,1.64011917946437
"dgp2",10,0.122729683691955,0.0998569277170966,1.69231451340463
"dgp2",15,0.103506406610545,0.0827806158818901,2.05671928456433
"dgp2",25,0.0880524056210102,0.0713600130953195,2.0162750865211
"dgp2",40,0.0762696181486936,0.0623984052908371,2.14575467715519
"dgp2",60,0.0676612317498174,0.0564779527299002,3.16419150309154
"dgp2",100,0.0601523217613946,0.0508379613220759,NA
"dgp2",150,0.0574748731438157,0.0486220252895063,NA
"dgp2",250,0.0553133971842572,0.0468241781622819,NA
"dgp2",400,0.0534642950784582,0.0454518500350511,NA
"dgp2",600,0.0537024418345947,0.0456180183083971,NA
"dgp3",5,0.209467360143849,0.183419505624802,1.24127384666609
"dgp3",10,0.125932837960281,0.113949058249918,1.24209806108096
"dgp3",15,0.103520655405116,0.096135648666465,1.25246002346768
"dgp3",25,0.0867623737982527,0.0831490258664422,1.18576007950613
"dgp3",40,0.0767949661865389,0.0752217573853462,1.09382607072129
"dgp3",60,0.0696819007004065,0.0690441264056342,1.04726207450269
"dgp3",100,0.062627589297672,0.0630257279464503,0.9715811199173
"dgp3",150,0.0601021741508008,0.060988186531686,0.867402042291874
"dgp3",250,0.0587166154537771,0.0599275778808874,0.639893558537732
"dgp3",400,0.0579643621957832,0.0593189372251447,0.500541642126389
"dgp3",600,0.0579813727859705,0.059450149314458,0.317938524606652
